mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
4	4	127/8	127/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	87										
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	88										
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	89										
4	4	12	12	0.0	0	0	Dynamic	4/4	2	1	0					p									
4	4	12	12	0.0	0	0	Spanner	4/4	2	1	0														
4	4	12	12	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	90										
4	4	49/4	49/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	91										
4	4	25/2	25/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	92										
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	93										
4	4	13	13	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	94										
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	95										
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	96										
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	97										
4	4	14	14	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	98										
4	4	57/4	57/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	99										
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	100										
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	101										
4	4	15	15	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	102										
4	4	61/4	61/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	103										
4	4	31/2	31/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	104										
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	105										
5	5	16	16	0.0	0	0	Dynamic	4/4	1	1	0					f									
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	106										
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	107										
5	5	18	18	0.375	1/2	1/2	Chord	4/4	1	1	3/32		1/16	3/2	108		ornamentTurn								
5	5	147/8	147/8	0.0	19/32	19/32	Dynamic	4/4	1	1	0					p									
5	5	147/8	147/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	109										
5	5	37/2	37/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	110										
5	5	149/8	149/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	111										
5	5	75/4	75/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	112										
5	5	151/8	151/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	113										
5	5	19	19	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	114										
5	5	39/2	39/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	115		articStaccatoAbove							12	
5	5	157/8	157/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	116		articStaccatoAbove							12	
5	5	79/4	79/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	117		articStaccatoAbove							12	
5	5	159/8	159/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	118		articStaccatoAbove								
5	5	65/4	65/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	119										
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	120										
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	121										
5	5	17	17	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	122										
5	5	69/4	69/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	123										
5	5	35/2	35/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	124										
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	125										
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	126										
5	5	16	16	0.0	0	0	Dynamic	4/4	2	1	0					f									
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	127										
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	128										
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	129										
6	6	20	20	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	130										
6	6	41/2	41/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	131		articStaccatoAbove							13	
6	6	165/8	165/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	132		articStaccatoAbove							13	
6	6	83/4	83/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	133		articStaccatoAbove							13	
6	6	167/8	167/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	134		articStaccatoAbove								
6	6	21	21	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	135										
6	6	43/2	43/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	136		articStaccatoAbove							14	
6	6	173/8	173/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	137		articStaccatoAbove							14	
6	6	87/4	87/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	138		articStaccatoAbove							14	
6	6	175/8	175/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	139		articStaccatoAbove								
6	6	22	22	0.0	1/2	1/2	Dynamic	4/4	1	1	0					f									
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	140									15	
6	6	23	23	0.0	3/4	3/4	Dynamic	4/4	1	1	0					p									
6	6	23	23	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	141										
6	6	47/2	47/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	142		articStaccatoBelow							16	
6	6	189/8	189/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	143		articStaccatoBelow							16	
6	6	95/4	95/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	144		articStaccatoBelow							16	
6	6	191/8	191/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	145		articStaccatoBelow								
6	6	81/4	81/4	0.0	1/16	1/16	Dynamic	4/4	2	1	0					p									
6	6	81/4	81/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	146										
6	6	85/4	85/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	147										
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	148									17	
6	6	23	23	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	149										
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	150										
7	7	49/2	49/2	0.0	1/8	1/8	Spanner	4/4	1	1	0														2
7	7	49/2	49/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	151									18	2
7	7	197/8	197/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	152									18	2
7	7	99/4	99/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	153									18	2
7	7	199/8	199/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	154										2
7	7	25	25	0.0	1/4	1/4	Dynamic	4/4	1	1	0					f									2
7	7	25	25	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	155									19	2
7	7	103/4	103/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	156									19	2
7	7	207/8	207/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	157										2
7	7	26	26	0.0	1/2	1/2	Dynamic	4/4	1	1	0					p									2
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	158		articStaccatoBelow								2
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	159		articStaccatoBelow								2
7	7	25	25	0.75	1/4	1/4	Chord	4/4	1	2	3/16		1/8	3/2	160										2
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	161										2
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	162										
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	163										
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	164										
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	165		articStaccatoAbove								
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	166		articStaccatoAbove								
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	167										
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	168										
8	8	28	28	0.0	0	0	Dynamic	4/4	1	1	0					p									
8	8	28	28	0.0	0	0	Spanner	4/4	1	1	0														
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	169										
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	170										
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	171										
8	8	61/2	61/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	172									20	
8	8	245/8	245/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	173									20	
8	8	123/4	123/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	174									20	
8	8	247/8	247/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	175									20	
8	8	31	31	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	176										
8	8	63/2	63/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	177									21	
8	8	253/8	253/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	178									21	
8	8	127/4	127/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	179									21	
8	8	255/8	255/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	180										
8	8	28	28	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	181										
8	8	113/4	113/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	182										
8	8	57/2	57/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	183										
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	184										
8	8	29	29	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	185										
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	186										
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	187										
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	188										
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	189										
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	190										
8	8	31	31	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	191										
9	9	32	32	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	192										
9	9	65/2	65/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	193										
9	9	261/8	261/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	194										
9	9	131/4	131/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	195										
9	9	263/8	263/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	196										
9	9	33	33	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	197										
9	9	67/2	67/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	198										
9	9	269/8	269/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	199										
9	9	135/4	135/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	200										
9	9	271/8	271/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	201										
9	9	34	34	0.0	1/2	1/2	Dynamic	4/4	1	1	0					f									
9	9	34	34	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	202		ornamentTurn							22	
9	9	139/4	139/4	0.0	11/16	11/16	Dynamic	4/4	1	1	0					p								22	
9	9	139/4	139/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	203									22	
9	9	279/8	279/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	204									22	
9	9	35	35	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	205										
9	9	71/2	71/2	0.1875	7/8	7/8	Chord	4/4	1	1	3/64		1/32	3/2	206									23	
9	9	571/16	571/16	0.0625	59/64	59/64	Chord	4/4	1	1	1/64		1/64	1	207										
9	9	143/4	143/4	0.1875	15/16	15/16	Chord	4/4	1	1	3/64		1/32	3/2	208									24	
9	9	575/16	575/16	0.0625	63/64	63/64	Chord	4/4	1	1	1/64		1/64	1	209										
9	9	32	32	0.125	0	0	Chord	4/4	2	1	1/32		1/32	1	210									25	
9	9	257/8	257/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	211									25	
9	9	129/4	129/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	212									25	
9	9	259/8	259/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	213										
9	9	33	33	0.125	1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	214									26	
9	9	265/8	265/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32		1/32	1	215									26	
9	9	133/4	133/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	216									26	
9	9	267/8	267/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	217										
9	9	137/4	137/4	0.0	9/16	9/16	Dynamic	4/4	2	1	0					p									
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	218										
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	219										
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	220										
9	9	35	35	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	221										
9	9	34	34	0.0	1/2	1/2	Dynamic	4/4	2	2	0					f									
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	222										
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	223										
10	10	73/2	73/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	224										
10	10	75/2	75/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	225									27	
10	10	301/8	301/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	226									27	
10	10	151/4	151/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	227									27	
10	10	303/8	303/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	228										
10	10	38	38	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	229									28	
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	230										
10	10	77/2	77/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	231										
10	10	79/2	79/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	232									29	
10	10	317/8	317/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	233									29	
10	10	159/4	159/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	234									29	
10	10	319/8	319/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	235										
10	10	36	36	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	236									30	
10	10	145/4	145/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	237									30	
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	238									30	
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	239									30	
10	10	37	37	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	240									30	
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	241									30	
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	242									30	
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	243										
10	10	38	38	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	244									31	
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	245									31	
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	246									31	
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	247									31	
10	10	39	39	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	248									31	
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	249									31	
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	250									31	
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	251										
11	11	40	40	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	252									32	
11	11	161/4	161/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	253										
