mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	5	16	16	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	70								12
5	5	17	17	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	71								
5	5	35/2	35/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	72								
5	5	18	18	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	73								13
5	5	75/4	75/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	74								
5	5	19	19	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	75								14
5	5	77/4	77/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	76								14
5	5	39/2	39/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	77								14
5	5	79/4	79/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	78								14
5	5	16	16	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	79								15
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	80								15
5	5	17	17	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	81								15
5	5	35/2	35/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	82								
5	5	18	18	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	83								
6	6	20	20	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	84								
6	6	41/2	41/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	85	articStaccatoAbove							16
6	6	21	21	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	86	articStaccatoAbove							16
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	87	articStaccatoAbove							
6	6	22	22	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	88								17
6	6	91/4	91/4	0.08333333333333333		11/16	11/16	Chord	4/4	1	1	1/48	1/32	2/3	89								17
6	6	137/6	137/6	0.08333333333333333		17/24	17/24	Chord	4/4	1	1	1/48	1/32	2/3	90								17
6	6	275/12	275/12	0.08333333333333333		35/48	35/48	Chord	4/4	1	1	1/48	1/32	2/3	91								
6	6	23	23	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	92								18
6	6	93/4	93/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	93								18
6	6	47/2	47/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	94								18
6	6	95/4	95/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	95								
6	6	20	20	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	96								
6	6	41/2	41/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	97								
6	6	21	21	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	98								
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	99								
6	6	22	22	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	100								
7	7	24	24	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	101								
7	7	25	25	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	102								
7	7	26	26	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	103								
7	7	27	27	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	104								
7	7	49/2	49/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	105								
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	106								
7	7	53/2	53/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	107								
7	7	55/2	55/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	108								
8	8	28	28	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	109								19
8	8	57/2	57/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	110								19
8	8	29	29	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	111								19
8	8	59/2	59/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	112								
8	8	30	30	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	113								20
8	8	123/4	123/4	0.125		11/16	11/16	Chord	4/4	1	1	1/32	1/32	1	114								20
8	8	247/8	247/8	0.125		23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	115								
8	8	31	31	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	116								
8	8	28	28	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	117								
8	8	29	29	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	118								
8	8	59/2	59/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	119								
8	8	30	30	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	120								21
8	8	31	31	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	121								
9	9	32	32	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	122								22
9	9	33	33	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	123								22
9	9	67/2	67/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	124								22
9	9	34	34	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	125								
9	9	69/2	69/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	126								23
9	9	35	35	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	127								23
9	9	71/2	71/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	128								23
9	9	32	32	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	129								
9	9	67/2	67/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	130								
9	9	34	34	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	131								
9	9	71/2	71/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	132								24
10	10	36	36	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	133								
10	10	73/2	73/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	134								25
10	10	37	37	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	135								25
10	10	75/2	75/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	136								
10	10	38	38	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	137								26
10	10	155/4	155/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	138								
10	10	39	39	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	139								27
10	10	157/4	157/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	140								
10	10	79/2	79/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	141								
10	10	159/4	159/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	142								
10	10	36	36	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	143								
10	10	38	38	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	144								
10	10	39	39	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	145								
10	10	36	36	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	146								24
10	10	73/2	73/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	147								24
10	10	37	37	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	148								24
10	10	75/2	75/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	149								
10	10	38	38	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	150								
10	10	39	39	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	151								
11	11	40	40	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	152								28
11	11	41	41	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	153								28
11	11	83/2	83/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	154								
11	11	42	42	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	155	articStaccatoAbove							
11	11	85/2	85/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	156	articStaccatoAbove							
11	11	43	43	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	157	articStaccatoAbove							
11	11	87/2	87/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	158	articStaccatoAbove							
11	11	40	40	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	159								
11	11	42	42	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	160								
11	11	85/2	85/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	161								
11	11	43	43	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	162								
11	11	40	40	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	163								29
11	11	41	41	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	164								29
11	11	83/2	83/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	165								
11	11	42	42	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	166	articStaccatoAbove							
11	11	85/2	85/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	167	articStaccatoAbove							
11	11	43	43	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	168	articStaccatoAbove							
11	11	87/2	87/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	169	articStaccatoAbove							
12	12	44	44	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	170								
12	12	89/2	89/2	0.125		1/8	1/8	Chord	4/4	1	1	1/32	1/32	1	171								30
12	12	357/8	357/8	0.125		5/32	5/32	Chord	4/4	1	1	1/32	1/32	1	172								30
12	12	179/4	179/4	0.125		3/16	3/16	Chord	4/4	1	1	1/32	1/32	1	173								30
12	12	359/8	359/8	0.125		7/32	7/32	Chord	4/4	1	1	1/32	1/32	1	174								
12	12	45	45	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	175								
12	12	91/2	91/2	0.125		3/8	3/8	Chord	4/4	1	1	1/32	1/32	1	176								31
12	12	365/8	365/8	0.125		13/32	13/32	Chord	4/4	1	1	1/32	1/32	1	177								31
12	12	183/4	183/4	0.125		7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	178								31
12	12	367/8	367/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	179								
12	12	46	46	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	180								32
12	12	47	47	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	181								
12	12	44	44	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	182								
12	12	89/2	89/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	183								
12	12	45	45	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	184								
12	12	91/2	91/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	185								
12	12	46	46	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	186								33
12	12	47	47	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	187								
12	12	45	45	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	188								
12	12	46	46	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	189								
12	12	47	47	0.5		3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	190								
13	13	48	48	0.75		0	0	Chord	4/4	1	1	3/16	1/8	3/2	191								34
13	13	195/4	195/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	192								
13	13	49	49	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	193	articStaccatoAbove							
13	13	50	50	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	194								35
13	13	203/4	203/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	195								
13	13	51	51	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	196	articStaccatoAbove							
13	13	48	48	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	197								
13	13	193/4	193/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	198								
13	13	97/2	97/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	199								
13	13	195/4	195/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	200								
13	13	49	49	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	201								
13	13	197/4	197/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	202								
13	13	99/2	99/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	203								
13	13	199/4	199/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	204								
13	13	50	50	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	205								
13	13	201/4	201/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	206								
13	13	101/2	101/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	207								
13	13	203/4	203/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	208								
13	13	51	51	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	209								
13	13	205/4	205/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	210								
13	13	103/2	103/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	211								
13	13	207/4	207/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	212								
14	14	209/4	209/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	213								36
14	14	105/2	105/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	214								36
14	14	211/4	211/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	215								
14	14	53	53	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	216								37
14	14	213/4	213/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	217								
14	14	107/2	107/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	218								38
14	14	215/4	215/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	219								
14	14	54	54	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	220								39
14	14	55	55	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	221								
14	14	52	52	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	222								
14	14	53	53	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	223								
14	14	107/2	107/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	224								
14	14	54	54	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	225								
14	14	217/4	217/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	226								
14	14	109/2	109/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	227								
14	14	219/4	219/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	228								
14	14	55	55	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	229								
14	14	221/4	221/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	230								
14	14	111/2	111/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	231								
14	14	223/4	223/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	232								
15	15	225/4	225/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	233								40
15	15	113/2	113/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	234								40
15	15	227/4	227/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	235								40
15	15	57	57	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	236								40
15	15	115/2	115/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	237								
15	15	233/4	233/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	238								41
15	15	117/2	117/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	239								41
15	15	235/4	235/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	240								41
15	15	59	59	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	241								41
15	15	119/2	119/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	242								
15	15	56	56	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	243								
15	15	229/4	229/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	244								
15	15	115/2	115/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	245								
15	15	231/4	231/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	246								
15	15	58	58	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	247								
15	15	237/4	237/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	248								
15	15	119/2	119/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	249								
15	15	239/4	239/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	250								
16	16	241/4	241/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	251								
16	16	243/4	243/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	252								
16	16	245/4	245/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	253								
16	16	247/4	247/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	254								
16	16	249/4	249/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	255								42
16	16	125/2	125/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	256								42
16	16	251/4	251/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	257								42
16	16	63	63	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	258								42
16	16	253/4	253/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	259								42
16	16	127/2	127/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	260								42
16	16	255/4	255/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	261								
16	16	60	60	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	262								
16	16	121/2	121/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	263								
16	16	61	61	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	264								
16	16	123/2	123/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	265								
16	16	62	62	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	266								
17	17	64	64	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	267								43
17	17	65	65	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	268								
17	17	66	66	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	269								44
17	17	67	67	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	270								
17	17	64	64	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	271								
17	17	257/4	257/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	272								
17	17	129/2	129/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	273								
17	17	259/4	259/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	274								
17	17	65	65	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	275								
17	17	261/4	261/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	276								
17	17	131/2	131/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	277								
17	17	263/4	263/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	278								
17	17	66	66	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	279								
17	17	265/4	265/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	280								
17	17	133/2	133/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	281								
17	17	267/4	267/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	282								
17	17	67	67	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	283								
17	17	269/4	269/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	284								
