mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur	Trill:trill	crescendo_line
53	52	155	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	303						28		
53	52	311/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	304						28		
53	52	156	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	305						28		
53	52	313/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	306						28		
54	53	157	0.0	0	0	Spanner	3/4	1	1	0											27		
54	53	157	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	307						27		
54	53	315/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	308						27		
54	53	158	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	309						27		
54	53	317/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	310						27		
54	53	159	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	311						27		
54	53	319/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	312								
54	53	157	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	313						28		
54	53	315/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	314						28		
54	53	158	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	315						28		
54	53	317/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	316						28		
54	53	159	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	317						28		
54	53	319/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	318								
55	54	160	0.0	0	0	Dynamic	3/4	1	1	0						p							
55	54	160	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	319						29		
55	54	162	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	320								
55	54	160	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	321						30		
55	54	321/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	322						30		
55	54	161	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	323						30		
55	54	323/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	324						30		
55	54	162	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	325						30		
55	54	325/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	326						30		
56	55	164	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	327		articStaccatoAbove				31		
56	55	165	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	328		articStaccatoAbove						
56	55	163	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	329						30		
56	55	327/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	330						30		
56	55	164	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	331						30		
56	55	329/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	332						30		
56	55	165	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	333						30		
56	55	331/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	334								
57	56	166	0.0	0	0	Dynamic	3/4	1	1	0						f							
57	56	166	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	335						32		
57	56	335/2	0.16666666666666666	3/8	3/8	Chord	3/4	1	1	1/24			1/16	2/3	336						32		
57	56	503/3	0.16666666666666666	5/12	5/12	Chord	3/4	1	1	1/24			1/16	2/3	337						32		
57	56	1007/6	0.16666666666666666	11/24	11/24	Chord	3/4	1	1	1/24			1/16	2/3	338						32		
57	56	168	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	339								
57	56	337/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	340		articStaccatoAbove						
57	56	166	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	341						33		
57	56	333/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	342						33		
57	56	167	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	343						33		
57	56	335/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	344						33		
57	56	168	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	345						33		
57	56	337/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	346						33		
58	57	169	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	347						34		
58	57	171	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	348								
58	57	169	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	349						33		
58	57	339/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	350						33		
58	57	170	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	351						33		
58	57	341/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	352						33		
58	57	171	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	353						33		
58	57	343/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	354								
59	58	172	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	355								
59	58	347/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p							
59	58	347/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	356						35		
59	58	174	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	357						35		
59	58	349/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	358						35		
59	58	172	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	359								
59	58	173	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	360								
60	59	175	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	361						35		
60	59	351/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	362						35		
60	59	176	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	363						35		
60	59	353/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	364						35		
60	59	177	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	365						35		
60	59	355/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	366								
60	59	177	0.0	1/2	1/2	Dynamic	3/4	2	1	0						p							
60	59	177	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	367						36		
61	60	178	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	368								
61	60	359/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	369						37		
61	60	180	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	370						37		
61	60	361/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	371						37		
61	60	178	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	372								
61	60	179	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	373								
62	61	181	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	374						37		
62	61	363/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	375						37		
62	61	182	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	376						37		
62	61	365/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	377						37		
62	61	183	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	378						37		
62	61	367/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	379								
62	61	183	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	380						38		
63	62	184	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	381								
63	62	371/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	382						39		
63	62	186	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	383						39		
63	62	373/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	384						39		
63	62	184	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	385								
63	62	185	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	386								
64	63	187	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	387								
64	63	377/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	388						40		
64	63	189	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	389						40		
64	63	379/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	390						40		
64	63	188	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	391								
65	64	190	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	392								
65	64	383/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	393						41		
65	64	192	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	394						41		
65	64	385/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	395						41		
65	64	191	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	396								
66	65	193	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	397								
66	65	389/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	398						42		
66	65	195	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	399						42		
66	65	391/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	400						42		
66	65	194	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	401								
67	66	196	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	402						42		
67	66	393/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	403						42		
67	66	197	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	404								
67	66	395/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						f							
67	66	395/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	405		articStaccatoBelow						
67	66	198	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	406		articStaccatoBelow						
67	66	397/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	407		articStaccatoBelow						
68	67	199	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	408		articStaccatoBelow						
68	67	399/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	409		articStaccatoBelow						
68	67	200	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	410		articStaccatoBelow						
68	67	401/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	411		articStaccatoBelow						
68	67	201	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	412		articStaccatoBelow						
68	67	403/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	413		articStaccatoBelow						
69	68	202	0.0	0	0	Dynamic	3/4	2	1	0						f							
69	68	202	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	414								
70	69	205	0.0	0	0	Dynamic	3/4	1	1	0						f							
70	69	205	0.0	0	0	Dynamic	3/4	1	1	0						f							
70	69	205	3.0	0	0	Chord	3/4	1	1	3/4			1/2	3/2	415								
70	69	205	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	416								
71	70	208	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	417						43		
71	70	209	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	418						43		
71	70	210	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	419								
71	70	208	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	420								
72	71	211	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	421						44		
72	71	212	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	422						44		
72	71	213	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	423								
72	71	211	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	424								
73	72	214	0.0	0	0	Dynamic	3/4	1	1	0						p							
73	72	214	3.0	0	0	Chord	3/4	1	1	3/4			1/2	3/2	425								
73	72	216	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	426								
73	72	216	0.0	1/2	1/2	Dynamic	3/4	2	1	0						p							
73	72	216	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	427								
74	73	217	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	428								
74	73	219	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	429						45		
74	73	439/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	430								
74	73	217	2.0	0	0	Chord	3/4	1	2	1/2			1/2	1	431								
74	73	219	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	432								
74	73	219	1.0	1/2	1/2	Chord	3/4	1	3	1/4			1/4	1	433								
74	73	217	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	434								
75	74	220	0.0	0	0	Dynamic	3/4	1	1	0						f							
75	74	220	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	435								
75	74	443/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p							
75	74	443/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	436		articStaccatoAbove						
75	74	222	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	437		articStaccatoAbove						
75	74	445/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	438		articStaccatoAbove						
75	74	220	0.0	0	0	Dynamic	3/4	2	1	0						fp							
75	74	220	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	439								
75	74	441/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	440								
75	74	221	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	441								
75	74	443/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	442								
75	74	222	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	443								
75	74	445/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	444								
76	75	223	0.0	0	0	Dynamic	3/4	1	1	0						f							
76	75	223	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	445						46		
76	75	447/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	446								
76	75	449/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p							
76	75	449/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	447		articStaccatoAbove						
76	75	225	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	448		articStaccatoAbove						
76	75	451/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	449		articStaccatoAbove						
76	75	223	0.0	0	0	Dynamic	3/4	2	1	0						fp							
76	75	223	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	450								
76	75	447/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	451								
76	75	224	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	452								
76	75	449/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	453								
76	75	225	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	454								
76	75	451/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	455								
77	76	226	0.0	0	0	Dynamic	3/4	1	1	0						f							
77	76	226	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	456						47		
77	76	453/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	457								
77	76	455/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p							
77	76	455/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	458		articStaccatoAbove						
77	76	228	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	459		articStaccatoAbove						
77	76	457/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	460		articStaccatoAbove						
77	76	226	0.0	0	0	Dynamic	3/4	2	1	0						fp							
77	76	226	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	461								
77	76	453/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	462								
77	76	227	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	463								
77	76	455/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	464								
77	76	228	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	465								
77	76	457/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	466								
78	77	229	0.0	0	0	Dynamic	3/4	1	1	0						f							
78	77	229	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	467						48		
78	77	459/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	468								
78	77	461/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p							
78	77	461/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	469		articStaccatoAbove						
78	77	231	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	470		articStaccatoAbove						
78	77	463/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	471		articStaccatoAbove						
78	77	229	0.0	0	0	Dynamic	3/4	2	1	0						fp							
78	77	229	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	472								
78	77	459/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	473								
78	77	230	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	474								
78	77	461/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	475								
78	77	231	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	476								
78	77	463/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	477								
79	78	232	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	478						49		
79	78	465/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	479						49		
79	78	233	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	480								
79	78	467/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	481		articStaccatoAbove						
79	78	234	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	482		articStaccatoAbove						
79	78	469/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	483		articStaccatoAbove						
79	78	232	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	484								
80	79	471/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	485						50		
80	79	236	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	486								
80	79	473/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	487		articStaccatoAbove						
80	79	237	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	488		articStaccatoAbove						
80	79	475/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	489		articStaccatoAbove						
80	79	235	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	490								
81	80	477/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	491						51		
81	80	239	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	492								
81	80	479/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	493		articStaccatoAbove						
81	80	240	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	494		articStaccatoAbove						
81	80	481/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	495		articStaccatoAbove						
81	80	238	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	496								
82	81	483/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	497						52		
82	81	242	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	498								
82	81	485/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	499		articStaccatoAbove						
82	81	243	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	500		articStaccatoAbove						
82	81	487/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	501		articStaccatoAbove						
82	81	241	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	502								
83	82	244	0.0	0	0	Dynamic	3/4	1	1	0						f							
83	82	244	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	503								
83	82	491/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p							
83	82	491/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	504		articStaccatoBelow						
83	82	246	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	505		articStaccatoBelow						
83	82	493/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	506		articStaccatoBelow						
83	82	244	0.0	0	0	Dynamic	3/4	2	1	0						fp							
83	82	244	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	507								
83	82	489/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	508								
83	82	245	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	509								
83	82	491/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	510								
83	82	246	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	511								
83	82	493/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	512								
84	83	247	0.0	0	0	Dynamic	3/4	1	1	0						f							
84	83	247	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	513						53		
84	83	495/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	514								
84	83	497/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p							
84	83	497/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	515		articStaccatoBelow						
84	83	249	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	516		articStaccatoBelow						
84	83	499/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	517		articStaccatoBelow						
84	83	247	0.0	0	0	Dynamic	3/4	2	1	0						fp							
84	83	247	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	518								
84	83	495/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	519								
84	83	248	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	520								
84	83	497/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	521								
84	83	249	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	522								
84	83	499/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	523								
85	84	250	0.0	0	0	Dynamic	3/4	1	1	0						f							
85	84	250	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	524						54		
85	84	501/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	525								
85	84	503/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p							
85	84	503/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	526		articStaccatoBelow						
85	84	252	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	527		articStaccatoBelow						
85	84	505/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	528		articStaccatoBelow						
85	84	250	0.0	0	0	Dynamic	3/4	2	1	0						fp							
85	84	250	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	529								
85	84	501/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	530								
85	84	251	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	531								
85	84	503/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	532								
85	84	252	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	533								
85	84	505/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	534								
86	85	253	0.0	0	0	Dynamic	3/4	1	1	0						f							
86	85	253	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	535						55		
86	85	507/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	536								
86	85	509/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p							
86	85	509/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	537		articStaccatoBelow						
86	85	255	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	538		articStaccatoBelow						
86	85	511/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	539		articStaccatoBelow						
86	85	253	0.0	0	0	Dynamic	3/4	2	1	0						fp							
86	85	253	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	540								
86	85	507/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	541								
86	85	254	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	542								
86	85	509/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	543								
86	85	255	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	544								
86	85	511/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	545								
87	86	256	0.0	0	0	Dynamic	3/4	1	1	0						p							
87	86	256	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	546						56		
87	86	513/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	547						56		
87	86	257	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	548								
87	86	515/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	549		articStaccatoAbove						
87	86	258	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	550		articStaccatoAbove						
87	86	517/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	551		articStaccatoAbove						
87	86	256	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	552								
88	87	519/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	553						57		
88	87	260	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	554								
88	87	521/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	555		articStaccatoBelow						
88	87	261	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	556		articStaccatoBelow						
88	87	523/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	557		articStaccatoBelow						
88	87	259	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	558								
89	88	525/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	559						58		
89	88	263	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	560								
89	88	527/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	561		articStaccatoBelow						
89	88	264	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	562		articStaccatoBelow						
89	88	529/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	563		articStaccatoBelow						
89	88	262	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	564								
90	89	531/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	565						59		
90	89	266	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	566								
90	89	533/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	567		articStaccatoBelow						
90	89	267	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	568		articStaccatoBelow						
90	89	535/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	569		articStaccatoBelow						
90	89	265	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	570								
91	90	268	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	571						60		
91	90	537/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	572						60		
91	90	269	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	573						60		
91	90	539/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	574						60		
91	90	270	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	575						60		
91	90	541/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	576								
